"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Kuwait","Aruba","2015.0","Import","92.0","2.19","711.92","0.0","4.78","4.2","219.0","96.35","3.65","0.0","0.0","5.0","0.0","0.0","584.9","111.61","4.78","4.2","219.0","96.35","3.65","0.0","0.0","5.0","0.0","0.0","584.9","111.61",""
"Kuwait","Afghanistan","2015.0","Import","21.0","0.5","122.08","0.0","3.18","3.98","50.0","74.0","22.0","4.0","0.0","5.0","0.0","0.56","96.63","24.77","3.18","3.98","50.0","74.0","22.0","4.0","0.0","5.0","0.0","0.56","96.63","24.77",""
"Kuwait","Angola","2015.0","Import","31.0","0.74","185.84","0.0","3.67","4.6","75.0","70.67","29.33","0.0","0.0","5.0","0.0","0.0","169.97","14.88","3.67","4.6","75.0","70.67","29.33","0.0","0.0","5.0","0.0","0.0","169.97","14.88",""
"Kuwait","Anguila","2015.0","Import","2.0","0.05","50.3","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","50.23","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","50.23","0.0",""
"Kuwait","Albania","2015.0","Import","100.0","2.38","1618.7","0.01","4.95","4.94","156.0","98.72","1.28","0.0","0.0","5.0","0.0","0.0","1595.94","19.5","4.95","4.94","156.0","98.72","1.28","0.0","0.0","5.0","0.0","0.0","1595.94","19.5",""
"Kuwait","Andorra","2015.0","Import","6.0","0.14","145.75","0.0","4.0","1.08","7.0","57.14","42.86","0.0","0.0","5.0","0.0","0.0","31.38","114.01","4.0","1.08","7.0","57.14","42.86","0.0","0.0","5.0","0.0","0.0","31.38","114.01",""
"Kuwait","United Arab Emirates","2015.0","Import","1987.0","47.24","2976179.22","9.33","0.0","0.0","3638.0","0.0","99.92","0.08","0.0","0.0","0.0","1725.26","1725.26","2972682.5","4.67","3.51","3638.0","88.68","10.72","0.36","0.25","100.0","0.0","16630.96","2087227.35","887180.41","2.0"
"Kuwait","Argentina","2015.0","Import","233.0","5.54","50548.05","0.16","4.21","0.3","500.0","88.4","11.0","0.6","0.0","5.0","0.0","78.46","3026.7","47503.3","4.21","0.3","500.0","88.4","11.0","0.6","0.0","5.0","0.0","78.46","3026.7","47503.3",""
"Kuwait","Armenia","2015.0","Import","28.0","0.67","265.51","0.0","4.54","4.42","47.0","89.36","10.64","0.0","0.0","5.0","0.0","0.0","236.24","25.96","4.54","4.42","47.0","89.36","10.64","0.0","0.0","5.0","0.0","0.0","236.24","25.96",""
"Kuwait","American Samoa","2015.0","Import","25.0","0.59","31.12","0.0","4.79","4.67","44.0","93.18","6.82","0.0","0.0","5.0","0.0","0.0","28.7","2.01","4.79","4.67","44.0","93.18","6.82","0.0","0.0","5.0","0.0","0.0","28.7","2.01",""
"Kuwait","Antigua and Barbuda","2015.0","Import","1.0","0.02","0.32","0.0","3.33","3.33","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","0.32","0.0","3.33","3.33","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","0.32","0.0",""
"Kuwait","Australia","2015.0","Import","826.0","19.64","587318.69","1.84","4.17","2.96","1719.0","84.06","15.59","0.35","0.0","5.0","0.0","475.1","349231.39","237893.52","4.17","2.96","1719.0","84.06","15.59","0.35","0.0","5.0","0.0","475.1","349231.39","237893.52",""
"Kuwait","Austria","2015.0","Import","811.0","19.28","231332.86","0.72","4.57","3.76","1584.0","90.15","9.66","0.19","0.0","5.0","0.0","43.39","173602.62","57347.17","4.57","3.76","1584.0","90.15","9.66","0.19","0.0","5.0","0.0","43.39","173602.62","57347.17",""
"Kuwait","Azerbaijan","2015.0","Import","6.0","0.14","1.44","0.0","5.0","5.0","5.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1.4","0.0","5.0","5.0","5.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1.4","0.0",""
"Kuwait","Burundi","2015.0","Import","1.0","0.02","0.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","Belgium","2015.0","Import","1121.0","26.65","191623.17","0.6","4.56","3.7","2155.0","90.63","9.14","0.23","0.0","5.0","0.0","3627.86","142570.94","48846.2","4.56","3.7","2155.0","90.63","9.14","0.23","0.0","5.0","0.0","3627.86","142570.94","48846.2",""
"Kuwait","Benin","2015.0","Import","2.0","0.05","1.84","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.83","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.83",""
"Kuwait","Burkina Faso","2015.0","Import","4.0","0.1","4.25","0.0","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3.99","0.0","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3.99","0.0",""
"Kuwait","Bangladesh","2015.0","Import","494.0","11.75","73244.46","0.23","4.61","4.25","898.0","91.87","7.91","0.22","0.0","5.0","0.0","15.75","61774.79","10942.07","4.61","4.25","898.0","91.87","7.91","0.22","0.0","5.0","0.0","15.75","61774.79","10942.07",""
"Kuwait","Bulgaria","2015.0","Import","519.0","12.34","25725.47","0.08","4.77","4.81","992.0","93.04","6.25","0.71","0.0","5.0","0.0","229.04","24675.31","954.81","4.77","4.81","992.0","93.04","6.25","0.71","0.0","5.0","0.0","229.04","24675.31","954.81",""
"Kuwait","Bahrain","2015.0","Import","722.0","17.17","416437.72","1.31","0.0","0.0","1517.0","0.0","99.8","0.2","0.0","0.0","0.0","2.91","2.91","416277.97","4.41","4.91","1517.0","87.87","11.73","0.4","0.0","5.0","0.0","47.86","409942.69","6338.19","2.0"
"Kuwait","Bahamas, The","2015.0","Import","3.0","0.07","21.05","0.0","3.33","1.77","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","7.45","13.6","3.33","1.77","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","7.45","13.6",""
"Kuwait","Bosnia and Herzegovina","2015.0","Import","172.0","4.09","3948.99","0.01","4.84","4.93","332.0","95.18","4.82","0.0","0.0","5.0","0.0","0.0","3891.75","49.41","4.84","4.93","332.0","95.18","4.82","0.0","0.0","5.0","0.0","0.0","3891.75","49.41",""
"Kuwait","Belarus","2015.0","Import","35.0","0.83","2857.1","0.01","5.0","5.0","79.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","2846.13","0.0","5.0","5.0","79.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","2846.13","0.0",""
"Kuwait","Belize","2015.0","Import","5.0","0.12","33.21","0.0","5.0","5.0","9.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","33.07","0.0","5.0","5.0","9.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","33.07","0.0",""
"Kuwait","Bermuda","2015.0","Import","5.0","0.12","5.89","0.0","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","5.8","0.0","5.0","5.0","4.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","5.8","0.0",""
"Kuwait","Bolivia","2015.0","Import","25.0","0.59","233.32","0.0","4.58","4.45","54.0","92.59","3.7","3.7","0.0","5.0","0.0","1.71","207.47","25.74","4.58","4.45","54.0","92.59","3.7","3.7","0.0","5.0","0.0","1.71","207.47","25.74",""
"Kuwait","Brazil","2015.0","Import","697.0","16.57","325014.56","1.02","4.61","4.7","1366.0","91.07","8.78","0.15","0.0","5.0","0.0","358.21","305229.21","19634.98","4.61","4.7","1366.0","91.07","8.78","0.15","0.0","5.0","0.0","358.21","305229.21","19634.98",""
"Kuwait","Barbados","2015.0","Import","2.0","0.05","1.03","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1.02","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1.02","0.0",""
"Kuwait","Brunei","2015.0","Import","7.0","0.17","23.16","0.0","4.58","4.84","12.0","91.67","8.33","0.0","0.0","5.0","0.0","0.0","9.32","0.0","4.58","4.84","12.0","91.67","8.33","0.0","0.0","5.0","0.0","0.0","9.32","0.0",""
"Kuwait","Bhutan","2015.0","Import","3.0","0.07","1.14","0.0","2.5","2.99","7.0","85.71","14.29","0.0","0.0","5.0","0.0","0.0","0.49","0.33","2.5","2.99","7.0","85.71","14.29","0.0","0.0","5.0","0.0","0.0","0.49","0.33",""
"Kuwait","Botswana","2015.0","Import","3.0","0.07","112.07","0.0","5.0","5.0","5.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","111.93","0.0","5.0","5.0","5.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","111.93","0.0",""
"Kuwait","Canada","2015.0","Import","1090.0","25.92","287904.35","0.9","4.43","4.11","2018.0","88.11","11.69","0.2","0.0","5.0","0.0","204.69","237094.19","50232.65","4.43","4.11","2018.0","88.11","11.69","0.2","0.0","5.0","0.0","204.69","237094.19","50232.65",""
