"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Sri Lanka","Afghanistan","2015.0","Import","65.0","1.55","17.3","0.0","6.35","2.69","134.0","38.06","55.22","6.72","0.0","25.0","0.0","1.99","4.75","12.08","6.35","2.69","134.0","38.06","55.22","6.72","0.0","25.0","0.0","1.99","4.75","12.08",""
"Sri Lanka","Angola","2015.0","Import","2.0","0.05","37.83","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","37.83","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","37.83","0.0","1.0"
"Sri Lanka","Anguila","2015.0","Import","4.0","0.1","58.27","0.0","3.75","0.0","6.0","16.67","83.33","0.0","0.0","15.0","0.0","0.0","0.02","58.25","3.75","0.0","6.0","16.67","83.33","0.0","0.0","15.0","0.0","0.0","0.02","58.25",""
"Sri Lanka","Albania","2015.0","Import","4.0","0.1","126.19","0.0","4.41","0.81","21.0","52.38","42.86","4.76","0.0","25.0","0.0","0.39","8.04","118.15","4.41","0.81","21.0","52.38","42.86","4.76","0.0","25.0","0.0","0.39","8.04","118.15",""
"Sri Lanka","Andorra","2015.0","Import","79.0","1.89","244.06","0.0","9.28","4.0","212.0","48.58","38.21","13.21","0.0","25.0","0.0","19.56","107.14","136.91","9.28","4.0","212.0","48.58","38.21","13.21","0.0","25.0","0.0","19.56","107.14","136.91",""
"Sri Lanka","United Arab Emirates","2015.0","Import","1514.0","36.16","1073079.69","5.66","10.58","1.81","2390.0","54.81","37.7","7.49","0.0","125.0","0.0","165957.56","231917.01","841162.69","10.58","1.81","2390.0","54.81","37.7","7.49","0.0","125.0","0.0","165957.56","231917.01","841162.69",""
"Sri Lanka","Argentina","2015.0","Import","54.0","1.29","4230.2","0.02","7.18","4.29","95.0","35.79","54.74","9.47","0.0","25.0","0.0","558.42","1502.9","2727.3","7.18","4.29","95.0","35.79","54.74","9.47","0.0","25.0","0.0","558.42","1502.9","2727.3","1.0"
"Sri Lanka","Armenia","2015.0","Import","1.0","0.02","85.24","0.0","6.25","6.25","6.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","85.24","0.0","6.25","6.25","6.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","85.24","0.0",""
"Sri Lanka","American Samoa","2015.0","Import","8.0","0.19","401.33","0.0","11.88","11.52","11.0","63.64","27.27","9.09","0.0","25.0","0.0","2.88","306.49","94.84","11.88","11.52","11.0","63.64","27.27","9.09","0.0","25.0","0.0","2.88","306.49","94.84",""
"Sri Lanka","Antigua and Barbuda","2015.0","Import","10.0","0.24","7.79","0.0","9.25","1.49","12.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","0.77","7.02","9.25","1.49","12.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","0.77","7.02",""
"Sri Lanka","Australia","2015.0","Import","1117.0","26.68","268202.64","1.41","9.53","7.21","1818.0","49.23","45.43","5.34","0.0","25.0","0.0","97258.13","227723.67","40478.44","9.53","7.21","1818.0","49.23","45.43","5.34","0.0","25.0","0.0","97258.13","227723.67","40478.44",""
"Sri Lanka","Austria","2015.0","Import","508.0","12.13","81203.51","0.43","7.38","2.98","810.0","43.7","52.72","3.58","0.0","25.0","0.0","7654.35","20210.81","60992.58","7.38","2.98","810.0","43.7","52.72","3.58","0.0","25.0","0.0","7654.35","20210.81","60992.58",""
"Sri Lanka","Belgium","2015.0","Import","845.0","20.18","148165.15","0.78","7.19","4.2","1294.0","40.88","54.33","4.79","0.0","85.0","0.0","5568.48","30576.44","117588.72","7.19","4.2","1294.0","40.88","54.33","4.79","0.0","85.0","0.0","5568.48","30576.44","117588.72",""
"Sri Lanka","Bangladesh","2015.0","Import","251.0","5.99","37710.32","0.2","8.8","3.36","387.0","60.47","35.66","3.88","0.0","25.0","0.0","15475.36","20975.17","16735.16","11.22","4.09","387.0","60.47","35.66","3.88","0.0","25.0","0.0","15475.36","20975.17","16735.16","5.0"
"Sri Lanka","Bulgaria","2015.0","Import","99.0","2.36","6255.76","0.03","9.85","11.49","172.0","44.19","52.91","2.91","0.0","25.0","0.0","161.31","4769.33","1486.42","9.85","11.49","172.0","44.19","52.91","2.91","0.0","25.0","0.0","161.31","4769.33","1486.42","1.0"
"Sri Lanka","Bahrain","2015.0","Import","36.0","0.86","24956.28","0.13","10.03","2.46","85.0","56.47","41.18","2.35","0.0","25.0","0.0","3936.05","5739.25","19217.04","10.03","2.46","85.0","56.47","41.18","2.35","0.0","25.0","0.0","3936.05","5739.25","19217.04",""
"Sri Lanka","Bosnia and Herzegovina","2015.0","Import","9.0","0.22","295.78","0.0","10.42","2.87","11.0","54.55","45.45","0.0","0.0","25.0","0.0","0.0","34.53","261.25","10.42","2.87","11.0","54.55","45.45","0.0","0.0","25.0","0.0","0.0","34.53","261.25",""
"Sri Lanka","Belarus","2015.0","Import","9.0","0.22","18552.0","0.1","10.97","0.22","11.0","54.55","45.45","0.0","0.0","25.0","0.0","0.0","242.01","18309.99","10.97","0.22","11.0","54.55","45.45","0.0","0.0","25.0","0.0","0.0","242.01","18309.99",""
"Sri Lanka","Belize","2015.0","Import","5.0","0.12","236.04","0.0","9.38","10.44","9.0","22.22","33.33","44.44","0.0","25.0","0.0","198.29","216.94","19.1","9.38","10.44","9.0","22.22","33.33","44.44","0.0","25.0","0.0","198.29","216.94","19.1",""
"Sri Lanka","Bermuda","2015.0","Import","11.0","0.26","33.48","0.0","8.64","10.36","17.0","47.06","52.94","0.0","0.0","25.0","0.0","0.0","26.43","7.05","8.64","10.36","17.0","47.06","52.94","0.0","0.0","25.0","0.0","0.0","26.43","7.05",""
"Sri Lanka","Bolivia","2015.0","Import","1.0","0.02","124.25","0.0","7.5","7.5","2.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","124.25","0.0","7.5","7.5","2.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","124.25","0.0","1.0"
"Sri Lanka","Brazil","2015.0","Import","262.0","6.26","127240.93","0.67","9.33","7.0","419.0","50.12","44.87","5.01","0.0","75.0","0.0","99378.09","109245.98","17989.59","9.34","7.02","419.0","50.12","44.87","5.01","0.0","75.0","0.0","99378.09","109245.98","17989.59","1.0"
"Sri Lanka","Barbados","2015.0","Import","1.0","0.02","1.18","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.18","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.18",""
"Sri Lanka","Brunei","2015.0","Import","31.0","0.74","6.41","0.0","2.53","3.15","41.0","26.83","73.17","0.0","0.0","25.0","0.0","0.0","0.96","5.45","2.53","3.15","41.0","26.83","73.17","0.0","0.0","25.0","0.0","0.0","0.96","5.45",""
"Sri Lanka","Botswana","2015.0","Import","1.0","0.02","0.15","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.15","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.15","0.0",""
"Sri Lanka","Canada","2015.0","Import","557.0","13.3","291724.42","1.54","7.82","1.66","900.0","44.78","49.11","6.11","0.0","25.0","0.0","182124.16","262333.77","29390.54","7.82","1.66","900.0","44.78","49.11","6.11","0.0","25.0","0.0","182124.16","262333.77","29390.54",""
"Sri Lanka","Cocos (Keeling) Islands","2015.0","Import","1.0","0.02","4.38","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.38","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.38",""
"Sri Lanka","Switzerland","2015.0","Import","861.0","20.56","127133.59","0.67","7.84","4.92","1293.0","44.62","50.43","4.95","0.0","125.0","0.0","5554.37","60473.07","66658.86","7.84","4.92","1293.0","44.62","50.43","4.95","0.0","125.0","0.0","5554.37","60473.07","66658.86",""
"Sri Lanka","Chile","2015.0","Import","48.0","1.15","8306.04","0.04","10.4","10.45","91.0","48.35","36.26","15.38","0.0","25.0","0.0","1384.88","7791.4","514.64","10.49","13.85","91.0","48.35","36.26","15.38","0.0","25.0","0.0","1384.88","7791.4","514.64","1.0"
"Sri Lanka","China","2015.0","Import","3332.0","79.58","3727431.54","19.65","7.76","4.58","4947.0","44.53","51.61","3.86","0.0","125.0","0.0","291105.2","1444683.42","2282719.15","7.93","4.72","4947.0","44.55","51.59","3.86","0.0","125.0","0.0","291105.2","1444683.42","2282719.15","1.0"
"Sri Lanka","Cote d'Ivoire","2015.0","Import","3.0","0.07","898.43","0.0","23.06","25.0","6.0","100.0","0.0","0.0","0.0","25.0","7.5","0.0","898.43","0.0","23.06","25.0","6.0","100.0","0.0","0.0","0.0","25.0","7.5","0.0","898.43","0.0",""
"Sri Lanka","Cameroon","2015.0","Import","7.0","0.17","409.61","0.0","5.36","1.8","9.0","44.44","55.56","0.0","0.0","15.0","0.0","0.0","55.49","354.12","5.36","1.8","9.0","44.44","55.56","0.0","0.0","15.0","0.0","0.0","55.49","354.12","1.0"
"Sri Lanka","Cook Islands","2015.0","Import","5.0","0.12","14.11","0.0","10.5","11.83","7.0","42.86","57.14","0.0","0.0","25.0","0.0","0.0","10.99","3.11","10.5","11.83","7.0","42.86","57.14","0.0","0.0","25.0","0.0","0.0","10.99","3.11",""
"Sri Lanka","Colombia","2015.0","Import","10.0","0.24","265.71","0.0","3.18","1.63","18.0","38.89","61.11","0.0","0.0","25.0","0.0","0.0","52.33","213.38","3.18","1.63","18.0","38.89","61.11","0.0","0.0","25.0","0.0","0.0","52.33","213.38","1.0"
"Sri Lanka","Cape Verde","2015.0","Import","4.0","0.1","0.65","0.0","8.33","4.97","5.0","20.0","60.0","20.0","0.0","25.0","0.0","0.05","0.17","0.48","8.33","4.97","5.0","20.0","60.0","20.0","0.0","25.0","0.0","0.05","0.17","0.48",""
"Sri Lanka","Costa Rica","2015.0","Import","16.0","0.38","185.4","0.0","2.77","0.23","30.0","20.0","76.67","3.33","0.0","25.0","0.0","0.62","5.23","180.17","2.77","0.23","30.0","20.0","76.67","3.33","0.0","25.0","0.0","0.62","5.23","180.17",""
"Sri Lanka","Cuba","2015.0","Import","6.0","0.14","189.84","0.0","8.0","0.01","17.0","11.76","76.47","11.76","0.0","25.0","0.0","12.53","12.58","177.26","8.0","0.01","17.0","11.76","76.47","11.76","0.0","25.0","0.0","12.53","12.58","177.26","1.0"
"Sri Lanka","Curaçao","2015.0","Import","1.0","0.02","0.1","0.0","20.0","20.0","2.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","0.1","0.0","20.0","20.0","2.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","0.1","0.0",""
"Sri Lanka","Christmas Island","2015.0","Import","2.0","0.05","20.85","0.0","7.5","0.16","3.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.22","20.63","7.5","0.16","3.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.22","20.63",""
"Sri Lanka","Cayman Islands","2015.0","Import","1.0","0.02","2.45","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.45","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.45",""
"Sri Lanka","Cyprus","2015.0","Import","28.0","0.67","2492.95","0.01","15.71","6.22","62.0","62.9","32.26","4.84","0.0","25.0","0.0","32.92","646.03","1846.92","15.71","6.22","62.0","62.9","32.26","4.84","0.0","25.0","0.0","32.92","646.03","1846.92",""
"Sri Lanka","Czech Republic","2015.0","Import","321.0","7.67","14757.2","0.08","6.99","3.42","466.0","41.85","53.65","4.51","0.0","25.0","0.0","116.7","4843.95","9913.25","6.99","3.42","466.0","41.85","53.65","4.51","0.0","25.0","0.0","116.7","4843.95","9913.25",""
"Sri Lanka","Germany","2015.0","Import","2232.0","53.31","346681.16","1.83","7.15","4.1","3365.0","40.95","54.89","4.16","0.0","125.0","0.0","9040.16","134139.02","212537.79","7.15","4.1","3365.0","40.95","54.89","4.16","0.0","125.0","0.0","9040.16","134139.02","212537.79",""
"Sri Lanka","Djibouti","2015.0","Import","7.0","0.17","89.65","0.0","6.7","1.12","27.0","25.93","70.37","3.7","0.0","25.0","0.0","2.05","15.59","74.06","6.7","1.12","27.0","25.93","70.37","3.7","0.0","25.0","0.0","2.05","15.59","74.06",""
"Sri Lanka","Dominica","2015.0","Import","22.0","0.53","77.41","0.0","7.23","9.18","36.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","46.93","30.49","7.23","9.18","36.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","46.93","30.49",""
"Sri Lanka","Denmark","2015.0","Import","668.0","15.95","43224.93","0.23","8.26","4.84","1018.0","48.04","47.64","4.32","0.0","25.0","0.0","1144.03","13198.81","30026.04","8.26","4.84","1018.0","48.04","47.64","4.32","0.0","25.0","0.0","1144.03","13198.81","30026.04",""
"Sri Lanka","Dominican Republic","2015.0","Import","7.0","0.17","1036.17","0.01","14.91","65.09","17.0","23.53","64.71","11.76","0.0","75.0","0.0","2.52","902.57","133.6","14.91","65.09","17.0","23.53","64.71","11.76","0.0","75.0","0.0","2.52","902.57","133.6",""
"Sri Lanka","Algeria","2015.0","Import","6.0","0.14","21.75","0.0","16.0","1.75","7.0","71.43","14.29","14.29","0.0","25.0","0.0","0.01","1.95","19.79","16.0","1.75","7.0","71.43","14.29","14.29","0.0","25.0","0.0","0.01","1.95","19.79","1.0"
"Sri Lanka","East Asia & Pacific","2015.0","Import","3810.0","91.0","8934588.68","47.11","8.43","5.43","27617.0","47.03","48.03","4.94","0.0","125.0","0.0","1542340.66","4872480.48","4062060.35","8.26","5.5","5626.0","44.83","50.98","0.85","0.0","125.0","0.0","1542340.66","4872480.48","4062060.35","12.0"
"Sri Lanka","Europe & Central Asia","2015.0","Import","3340.0","79.77","2282475.04","12.03","8.17","4.85","25014.0","45.2","49.76","5.04","0.0","125.0","0.0","185997.75","878015.99","1404447.74","7.96","4.85","4847.0","44.05","51.56","0.85","0.0","125.0","0.0","185997.75","878015.99","1404447.74","3.0"
"Sri Lanka","Ecuador","2015.0","Import","23.0","0.55","13139.79","0.07","16.58","73.8","47.0","70.21","21.28","8.51","0.0","75.0","0.0","168.98","13130.51","9.28","16.58","73.8","47.0","70.21","21.28","8.51","0.0","75.0","0.0","168.98","13130.51","9.28","1.0"
"Sri Lanka","Egypt, Arab Rep.","2015.0","Import","84.0","2.01","17900.47","0.09","10.11","10.75","181.0","51.93","37.02","11.05","0.0","25.0","0.0","7456.08","12614.1","5286.38","10.21","10.82","181.0","51.93","37.02","11.05","0.0","25.0","0.0","7456.08","12614.1","5286.38","1.0"
"Sri Lanka","Eritrea","2015.0","Import","1.0","0.02","0.04","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04",""
"Sri Lanka","Spain","2015.0","Import","869.0","20.75","41362.59","0.22","9.27","4.84","1311.0","49.81","44.62","5.57","0.0","25.0","0.0","2114.02","15067.27","26295.32","9.27","4.84","1311.0","49.81","44.62","5.57","0.0","25.0","0.0","2114.02","15067.27","26295.32",""
"Sri Lanka","Estonia","2015.0","Import","27.0","0.64","2160.65","0.01","4.15","0.18","63.0","39.68","60.32","0.0","0.0","25.0","0.0","0.0","30.21","2130.44","4.15","0.18","63.0","39.68","60.32","0.0","0.0","25.0","0.0","0.0","30.21","2130.44",""
"Sri Lanka","Ethiopia(excludes Eritrea)","2015.0","Import","10.0","0.24","1214.99","0.01","11.0","19.7","17.0","58.82","35.29","5.88","0.0","25.0","0.0","72.82","1194.68","20.32","11.0","19.7","17.0","58.82","35.29","5.88","0.0","25.0","0.0","72.82","1194.68","20.32",""
"Sri Lanka","Finland","2015.0","Import","263.0","6.28","12698.67","0.07","7.28","3.57","480.0","37.92","53.33","8.75","0.0","25.0","0.0","237.64","3497.29","9201.38","7.28","3.57","480.0","37.92","53.33","8.75","0.0","25.0","0.0","237.64","3497.29","9201.38",""
"Sri Lanka","Fiji","2015.0","Import","12.0","0.29","978.42","0.01","8.65","14.58","20.0","55.0","25.0","20.0","0.0","25.0","0.0","127.29","954.46","23.96","8.65","14.58","20.0","55.0","25.0","20.0","0.0","25.0","0.0","127.29","954.46","23.96",""
"Sri Lanka","France","2015.0","Import","1192.0","28.47","116530.84","0.61","7.94","4.93","1902.0","43.11","51.52","5.36","0.0","25.0","0.0","8868.8","43138.29","73391.99","7.94","4.93","1902.0","43.11","51.52","5.36","0.0","25.0","0.0","8868.8","43138.29","73391.99",""
"Sri Lanka","Gabon","2015.0","Import","10.0","0.24","4.27","0.0","8.63","1.95","49.0","53.06","32.65","14.29","0.0","25.0","0.0","0.96","1.38","2.88","8.63","1.95","49.0","53.06","32.65","14.29","0.0","25.0","0.0","0.96","1.38","2.88",""
"Sri Lanka","United Kingdom","2015.0","Import","2038.0","48.67","482280.25","2.54","8.19","5.52","3048.0","45.21","50.36","4.43","0.0","125.0","0.0","35201.52","183076.25","299203.86","8.19","5.52","3048.0","45.21","50.36","4.43","0.0","125.0","0.0","35201.52","183076.25","299203.86",""
"Sri Lanka","Georgia","2015.0","Import","25.0","0.6","642.19","0.0","4.45","0.33","38.0","26.32","71.05","2.63","0.0","25.0","0.0","0.07","31.97","610.21","4.45","0.33","38.0","26.32","71.05","2.63","0.0","25.0","0.0","0.07","31.97","610.21",""
"Sri Lanka","Ghana","2015.0","Import","6.0","0.14","41.84","0.0","5.4","11.48","7.0","42.86","57.14","0.0","0.0","15.0","0.0","0.0","29.64","9.08","6.0","11.48","7.0","42.86","57.14","0.0","0.0","15.0","0.0","0.0","29.64","9.08","1.0"
"Sri Lanka","Guinea","2015.0","Import","2.0","0.05","345.75","0.0","24.0","25.0","7.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","345.76","0.0","24.0","25.0","7.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","345.76","0.0","1.0"
"Sri Lanka","Gambia, The","2015.0","Import","3.0","0.07","3.57","0.0","7.5","7.5","6.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","3.57","0.0","7.5","7.5","6.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","3.57","0.0",""
"Sri Lanka","Greece","2015.0","Import","180.0","4.3","8378.88","0.04","9.9","8.27","320.0","46.88","47.81","5.31","0.0","125.0","0.0","82.53","3644.23","4734.61","9.9","8.27","320.0","46.88","47.81","5.31","0.0","125.0","0.0","82.53","3644.23","4734.61",""
"Sri Lanka","Grenada","2015.0","Import","3.0","0.07","82.17","0.0","5.0","14.26","3.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","78.12","4.06","5.0","14.26","3.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","78.12","4.06",""
"Sri Lanka","Greenland","2015.0","Import","4.0","0.1","10.28","0.0","11.88","15.72","4.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","10.24","0.04","11.88","15.72","4.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","10.24","0.04",""
"Sri Lanka","Guatemala","2015.0","Import","4.0","0.1","987.17","0.01","19.58","14.39","22.0","72.73","0.0","27.27","0.0","25.0","7.5","855.98","987.17","0.0","19.58","14.39","22.0","72.73","0.0","27.27","0.0","25.0","7.5","855.98","987.17","0.0",""
"Sri Lanka","Hong Kong, China","2015.0","Import","1819.0","43.44","379671.65","2.0","8.36","5.24","2672.0","48.43","47.42","4.15","0.0","125.0","0.0","20237.06","133052.56","246617.38","8.36","5.24","2672.0","48.43","47.42","4.15","0.0","125.0","0.0","20237.06","133052.56","246617.38",""
"Sri Lanka","Honduras","2015.0","Import","7.0","0.17","6.26","0.0","9.43","11.01","14.0","64.29","35.71","0.0","0.0","25.0","0.0","0.0","5.88","0.38","9.43","11.01","14.0","64.29","35.71","0.0","0.0","25.0","0.0","0.0","5.88","0.38",""
"Sri Lanka","Croatia","2015.0","Import","20.0","0.48","290.36","0.0","5.93","1.58","38.0","39.47","57.89","2.63","0.0","25.0","0.0","5.38","28.25","262.11","5.93","1.58","38.0","39.47","57.89","2.63","0.0","25.0","0.0","5.38","28.25","262.11",""
"Sri Lanka","Hungary","2015.0","Import","176.0","4.2","18052.09","0.1","7.85","12.12","324.0","41.98","52.78","5.25","0.0","25.0","0.0","75.94","14496.23","3555.86","7.85","12.12","324.0","41.98","52.78","5.25","0.0","25.0","0.0","75.94","14496.23","3555.86",""
"Sri Lanka","Indonesia","2015.0","Import","980.0","23.41","434096.47","2.29","9.82","15.91","1685.0","52.17","41.72","6.11","0.0","125.0","0.0","56130.42","282651.02","151445.46","9.83","15.91","1685.0","52.17","41.72","6.11","0.0","125.0","0.0","56130.42","282651.02","151445.46","1.0"
"Sri Lanka","India","2015.0","Import","3367.0","80.42","4268480.23","22.5","3.26","3.44","4860.0","20.21","76.03","3.77","0.0","125.0","0.0","1132805.94","1954054.43","2314418.25","7.71","5.72","4860.0","43.44","52.16","4.4","0.0","125.0","0.0","1153274.25","2664606.65","1603866.03","5.0"
"Sri Lanka","Ireland","2015.0","Import","121.0","2.89","11500.41","0.06","8.13","0.76","224.0","41.96","51.34","6.7","0.0","85.0","0.0","179.65","617.9","10882.52","8.13","0.76","224.0","41.96","51.34","6.7","0.0","85.0","0.0","179.65","617.9","10882.52",""
"Sri Lanka","Iran, Islamic Rep.","2015.0","Import","155.0","3.7","7010.68","0.04","8.65","7.67","253.0","43.08","50.99","5.93","0.0","85.0","0.0","863.8","3719.13","3291.46","8.65","7.67","253.0","43.08","50.99","5.93","0.0","85.0","0.0","863.8","3719.13","3291.46","1.0"
"Sri Lanka","Iraq","2015.0","Import","1.0","0.02","371.75","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","371.75","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","371.75","0.0","1.0"
"Sri Lanka","Iceland","2015.0","Import","16.0","0.38","302.52","0.0","9.35","12.75","28.0","67.86","28.57","3.57","0.0","25.0","0.0","0.07","257.1","45.42","9.35","12.75","28.0","67.86","28.57","3.57","0.0","25.0","0.0","0.07","257.1","45.42",""
"Sri Lanka","Israel","2015.0","Import","245.0","5.85","51598.19","0.27","7.16","1.36","409.0","38.88","58.68","2.44","0.0","25.0","0.0","21.01","3847.82","47750.37","7.16","1.36","409.0","38.88","58.68","2.44","0.0","25.0","0.0","21.01","3847.82","47750.37",""
"Sri Lanka","Italy","2015.0","Import","1612.0","38.5","209242.87","1.1","8.65","5.02","2408.0","48.38","45.89","5.73","0.0","75.0","0.0","5252.93","56325.18","152913.48","8.65","5.02","2408.0","48.38","45.89","5.73","0.0","75.0","0.0","5252.93","56325.18","152913.48",""
"Sri Lanka","Jamaica","2015.0","Import","19.0","0.45","128.27","0.0","7.93","5.06","100.0","41.0","55.0","4.0","0.0","25.0","0.0","0.09","116.59","11.68","7.93","5.06","100.0","41.0","55.0","4.0","0.0","25.0","0.0","0.09","116.59","11.68",""
"Sri Lanka","Jordan","2015.0","Import","36.0","0.86","1478.43","0.01","6.72","3.23","114.0","35.09","50.0","14.91","0.0","25.0","0.0","49.78","283.38","1195.05","6.72","3.23","114.0","35.09","50.0","14.91","0.0","25.0","0.0","49.78","283.38","1195.05",""
"Sri Lanka","Japan","2015.0","Import","1892.0","45.19","1387668.28","7.32","8.02","3.93","3098.0","44.96","50.9","4.13","0.0","125.0","0.0","54136.52","1120791.55","266875.3","8.02","3.93","3098.0","44.96","50.9","4.13","0.0","125.0","0.0","54136.52","1120791.55","266875.3",""
"Sri Lanka","Kazakhstan","2015.0","Import","1.0","0.02","359.17","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","359.17","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","359.17",""
"Sri Lanka","Kenya","2015.0","Import","38.0","0.91","3060.67","0.02","11.33","22.45","100.0","68.0","30.0","2.0","0.0","25.0","0.0","1.6","2858.55","195.99","11.33","22.45","100.0","68.0","30.0","2.0","0.0","25.0","0.0","1.6","2858.55","195.99",""
"Sri Lanka","Cambodia","2015.0","Import","51.0","1.22","1015.36","0.01","11.12","11.73","72.0","61.11","36.11","2.78","0.0","25.0","0.0","0.69","802.06","213.29","11.12","11.73","72.0","61.11","36.11","2.78","0.0","25.0","0.0","0.69","802.06","213.29",""
"Sri Lanka","Korea, Rep.","2015.0","Import","1613.0","38.52","307950.4","1.62","6.51","3.07","2514.0","39.3","56.72","3.98","0.0","125.0","0.0","23254.87","82768.8","225181.6","6.68","3.15","2514.0","39.34","56.68","3.98","0.0","125.0","0.0","23254.87","82768.8","225181.6","2.0"
"Sri Lanka","Kuwait","2015.0","Import","32.0","0.76","27677.98","0.15","11.2","0.16","100.0","47.0","42.0","11.0","0.0","25.0","0.0","800.28","925.66","26752.32","11.2","0.16","100.0","47.0","42.0","11.0","0.0","25.0","0.0","800.28","925.66","26752.32",""
"Sri Lanka","Lao PDR","2015.0","Import","4.0","0.1","425.44","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","425.39","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","425.39","2.0"
"Sri Lanka","Lebanon","2015.0","Import","19.0","0.45","264.92","0.0","11.74","19.85","59.0","49.15","40.68","10.17","0.0","25.0","0.0","0.18","215.48","49.44","11.74","19.85","59.0","49.15","40.68","10.17","0.0","25.0","0.0","0.18","215.48","49.44",""
"Sri Lanka","Liberia","2015.0","Import","2.0","0.05","27.31","0.0","15.0","15.0","11.0","81.82","18.18","0.0","0.0","25.0","0.0","0.0","27.31","0.0","15.0","15.0","11.0","81.82","18.18","0.0","0.0","25.0","0.0","0.0","27.31","0.0",""
"Sri Lanka","Libya","2015.0","Import","1.0","0.02","192.78","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","192.78","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","192.78","1.0"
"Sri Lanka","Latin America & Caribbean","2015.0","Import","563.0","13.45","169389.79","0.89","9.06","22.22","1472.0","45.58","47.08","7.34","0.0","125.0","0.0","104429.98","140382.3","29001.58","9.32","22.59","951.0","48.58","45.85","3.6","0.0","125.0","0.0","104429.98","140382.3","29001.58","15.0"
"Sri Lanka","Lithuania","2015.0","Import","37.0","0.88","13942.57","0.07","10.84","2.4","59.0","52.54","45.76","1.69","0.0","125.0","0.0","261.91","297.34","13645.23","10.84","2.4","59.0","52.54","45.76","1.69","0.0","125.0","0.0","261.91","297.34","13645.23",""
