"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Germany","Aruba","2015.0","Import","7.0","0.15","981.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Afghanistan","2015.0","Import","83.0","1.83","7729.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Angola","2015.0","Import","26.0","0.57","84440.94","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Anguila","2015.0","Import","4.0","0.09","7.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Albania","2015.0","Import","298.0","6.59","81182.78","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Andorra","2015.0","Import","15.0","0.33","1050.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","United Arab Emirates","2015.0","Import","1378.0","30.45","1024711.04","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Argentina","2015.0","Import","800.0","17.68","1697238.87","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Armenia","2015.0","Import","139.0","3.07","153444.52","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","American Samoa","2015.0","Import","1.0","0.02","4.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Antarctica","2015.0","Import","4.0","0.09","229.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Fr. So. Ant. Tr","2015.0","Import","3.0","0.07","142.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Antigua and Barbuda","2015.0","Import","15.0","0.33","135.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Australia","2015.0","Import","1810.0","40.0","2043563.06","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Austria","2015.0","Import","3858.0","85.26","41196921.51","3.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Azerbaijan","2015.0","Import","135.0","2.98","2419290.92","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Burundi","2015.0","Import","6.0","0.13","4129.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Belgium","2015.0","Import","3859.0","85.28","40877387.93","3.87","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Benin","2015.0","Import","12.0","0.27","1124.39","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bonaire","2015.0","Import","2.0","0.04","23.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Burkina Faso","2015.0","Import","44.0","0.97","19371.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bangladesh","2015.0","Import","651.0","14.39","5175440.46","0.49","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bulgaria","2015.0","Import","1727.0","38.17","3221453.85","0.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bahrain","2015.0","Import","294.0","6.5","28049.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bahamas, The","2015.0","Import","20.0","0.44","5183.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bosnia and Herzegovina","2015.0","Import","983.0","21.72","654622.43","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Saint Barthélemy","2015.0","Import","9.0","0.2","2325.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Belarus","2015.0","Import","744.0","16.44","755098.06","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Belize","2015.0","Import","15.0","0.33","1484.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bermuda","2015.0","Import","9.0","0.2","610.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bolivia","2015.0","Import","127.0","2.81","131484.98","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Brazil","2015.0","Import","1953.0","43.16","9159919.54","0.87","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Barbados","2015.0","Import","28.0","0.62","2610.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Brunei","2015.0","Import","50.0","1.11","1055.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Bhutan","2015.0","Import","14.0","0.31","11829.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Botswana","2015.0","Import","14.0","0.31","2928.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Central African Republic","2015.0","Import","15.0","0.33","1618.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Canada","2015.0","Import","2363.0","52.22","4126990.34","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Switzerland","2015.0","Import","3890.0","85.97","47827929.25","4.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Chile","2015.0","Import","740.0","16.35","1625222.06","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","China","2015.0","Import","3912.0","86.45","103348241.76","9.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Cote d'Ivoire","2015.0","Import","65.0","1.44","873574.49","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Cameroon","2015.0","Import","154.0","3.4","52384.86","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Congo, Rep.","2015.0","Import","37.0","0.82","18745.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Cook Islands","2015.0","Import","2.0","0.04","2010.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
