"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Panama","Bunkers","2015.0","Import","17.0","0.59","198.37","0.0","7.67","5.86","74.0","64.86","35.14","0.0","0.0","15.0","0.0","0.0","145.57","52.79","7.67","5.86","74.0","64.86","35.14","0.0","0.0","15.0","0.0","0.0","145.57","52.79",""
"Panama","Canada","2015.0","Import","153.0","5.28","15661.31","0.15","7.56","2.86","436.0","74.77","25.23","0.0","0.0","15.0","0.0","0.0","5528.91","10132.4","7.56","2.86","436.0","74.77","25.23","0.0","0.0","15.0","0.0","0.0","5528.91","10132.4",""
"Panama","Switzerland","2015.0","Import","130.0","4.49","117898.03","1.14","9.08","1.51","407.0","79.85","20.15","0.0","0.0","54.0","0.0","0.0","20738.18","97150.16","9.08","1.51","407.0","79.85","20.15","0.0","0.0","54.0","0.0","0.0","20738.18","97150.16",""
"Panama","Chile","2015.0","Import","363.0","12.53","21209.08","0.2","6.89","7.93","1088.0","71.78","28.22","0.0","0.0","30.0","0.0","0.0","16551.32","4621.42","6.89","7.93","1088.0","71.78","28.22","0.0","0.0","30.0","0.0","0.0","16551.32","4621.42",""
"Panama","China","2015.0","Import","2222.0","76.7","3539322.62","34.12","6.53","7.97","4752.0","72.52","27.19","0.29","0.0","60.0","0.0","11.13","3110045.25","429189.13","6.53","7.97","4752.0","72.52","27.19","0.29","0.0","60.0","0.0","11.13","3110045.25","429189.13",""
"Panama","Colombia","2015.0","Import","748.0","25.82","105916.3","1.02","7.02","3.82","2071.0","74.75","24.92","0.34","0.0","120.0","0.0","139.9","48335.21","57568.85","7.02","3.82","2071.0","74.75","24.92","0.34","0.0","120.0","0.0","139.9","48335.21","57568.85",""
"Panama","Costa Rica","2015.0","Import","137.0","4.73","16326.24","0.16","7.83","8.57","498.0","77.91","22.09","0.0","0.0","30.0","0.0","0.0","12018.71","4305.05","7.83","8.57","498.0","77.91","22.09","0.0","0.0","30.0","0.0","0.0","12018.71","4305.05",""
"Panama","Cuba","2015.0","Import","31.0","1.07","4592.35","0.04","9.14","8.7","86.0","69.77","22.09","8.14","0.0","54.0","0.0","177.28","3284.47","1307.88","9.14","8.7","86.0","69.77","22.09","8.14","0.0","54.0","0.0","177.28","3284.47","1307.88",""
"Panama","Curaçao","2015.0","Import","79.0","2.73","9441.05","0.09","9.08","13.9","326.0","85.89","14.11","0.0","0.0","15.0","0.0","0.0","9285.99","155.06","9.08","13.9","326.0","85.89","14.11","0.0","0.0","15.0","0.0","0.0","9285.99","155.06",""
"Panama","Cyprus","2015.0","Import","2.0","0.07","89.15","0.0","12.5","14.58","2.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","89.15","0.0","12.5","14.58","2.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","89.15","0.0",""
"Panama","Czech Republic","2015.0","Import","5.0","0.17","80.3","0.0","7.27","5.67","28.0","82.14","17.86","0.0","0.0","15.0","0.0","0.0","44.12","36.19","7.27","5.67","28.0","82.14","17.86","0.0","0.0","15.0","0.0","0.0","44.12","36.19",""
"Panama","Germany","2015.0","Import","740.0","25.54","164748.59","1.59","6.83","1.82","1928.0","74.69","24.9","0.41","0.0","155.0","0.0","44.03","37600.92","127099.55","6.83","1.82","1928.0","74.69","24.9","0.41","0.0","155.0","0.0","44.03","37600.92","127099.55",""
"Panama","Denmark","2015.0","Import","25.0","0.86","18581.53","0.18","6.84","1.38","87.0","78.16","21.84","0.0","0.0","15.0","0.0","0.0","2539.25","16042.29","6.84","1.38","87.0","78.16","21.84","0.0","0.0","15.0","0.0","0.0","2539.25","16042.29",""
"Panama","Dominican Republic","2015.0","Import","69.0","2.38","10382.68","0.1","8.49","4.12","228.0","88.6","11.4","0.0","0.0","15.0","0.0","0.0","4829.01","5553.68","8.49","4.12","228.0","88.6","11.4","0.0","0.0","15.0","0.0","0.0","4829.01","5553.68",""
"Panama","East Asia & Pacific","2015.0","Import","2460.0","84.92","6777958.59","65.33","6.98","5.51","15353.0","76.58","23.23","0.2","0.0","90.0","0.0","2579.86","4473801.62","2303744.4","6.48","5.51","5182.0","71.34","28.37","0.1","0.0","90.0","0.0","2579.86","4473801.62","2303744.4",""
"Panama","Europe & Central Asia","2015.0","Import","1745.0","60.23","1419372.69","13.68","7.7","5.29","13489.0","78.65","21.28","0.07","0.0","155.0","0.0","477.11","766589.09","652444.23","7.17","5.29","4095.0","75.07","24.74","0.06","0.0","155.0","0.0","477.11","766589.09","652444.23",""
"Panama","Ecuador","2015.0","Import","219.0","7.56","14394.97","0.14","7.51","5.8","705.0","81.13","18.87","0.0","0.0","15.0","0.0","0.0","10717.91","3677.06","7.51","5.8","705.0","81.13","18.87","0.0","0.0","15.0","0.0","0.0","10717.91","3677.06",""
"Panama","Egypt, Arab Rep.","2015.0","Import","20.0","0.69","6652.44","0.06","10.82","11.4","97.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","6651.36","0.0","10.82","11.4","97.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","6651.36","0.0",""
